ZCTA,DATE,AVG,DP
90011,2013-06-29,25.35311031341555,4.689259182637581
90011,2013-06-30,26.532919883728,5.4725064138523525
90011,2013-07-01,26.19603633880615,4.900051112315434
90011,2013-07-02,23.8336925506592,4.588760962358439
90011,2013-07-03,22.7643909454346,3.555541460858533
90011,2013-07-04,22.715781211853,3.3446627973646588
90011,2013-07-05,22.12924957275395,3.274519718144115
90011,2013-07-06,22.726603507995648,3.7957469406026747
90011,2013-07-07,22.219141006469698,3.6960361009141134
90011,2013-07-08,22.92463779449465,2.699942645275832
90011,2013-07-09,23.5050973892212,3.653849471000657
90011,2013-07-10,23.303150177002,4.807652477577325
90011,2013-07-11,22.18323040008545,5.054273663471375
90011,2013-07-12,23.17313766479495,2.957098826671641
90011,2013-07-13,21.99844074249265,2.360160227837664
90011,2013-07-14,22.74444007873535,2.754091118835265
90011,2013-07-15,23.010497093200698,3.380349837083751
90011,2013-07-16,21.91937828063965,1.4735513898773367
90011,2013-07-17,22.54357051849365,1.7728428172793418
90011,2013-07-18,21.96029663085935,2.0664505767680645
90011,2013-07-19,21.7107744216919,2.448260359522926
90011,2013-07-20,21.9925060272217,3.487501461506221
90011,2013-07-21,20.8477382659912,3.937290189289905
90011,2013-07-22,22.90812301635745,3.687127659203002
90011,2013-07-23,21.9853229522705,3.2941330952210652
90011,2013-07-24,21.096633911132848,2.361748004198603
90011,2013-07-25,21.41884326934815,2.1494247914406013
90011,2013-07-26,22.09868812561035,2.8074187041881418
90011,2013-07-27,21.380414962768548,2.4301419345121844
90011,2013-07-28,20.538423538208,2.199333308368336
90011,2013-07-29,20.9799280166626,2.4020520975324717
90011,2013-07-30,20.6649332046509,2.017654215674763
90011,2013-07-31,19.78488159179685,1.5881484172322775
90011,2013-08-01,20.042128562927253,1.605573919763804
90011,2013-08-02,20.86753559112545,1.9035313911156944
90011,2013-08-03,21.4416627883911,2.526068417070701
90011,2013-08-04,20.5462551116943,1.6368909334398207
90011,2013-08-05,20.6333141326904,0.8696093845149028
90011,2013-08-06,20.603518009185798,1.530820885487026
90011,2013-08-07,20.427433013916,1.3000753189014242
90011,2013-08-08,20.40090942382815,1.0495207309754946
90011,2013-08-09,20.28739500045775,1.2199698031527462
90011,2013-08-10,20.51473903656005,1.8327455160750887
90011,2013-08-11,20.815184593200698,1.537082795446252
90011,2013-08-12,21.0590362548828,1.5592556006748195
90011,2013-08-13,21.72902965545655,1.9756836281231343
90011,2013-08-14,22.29096031188965,2.440601339747795
90011,2013-08-15,22.670749664306648,2.826157743007325
90011,2013-08-16,22.9942502975464,3.1989283616066597
90011,2013-08-17,22.318994522094698,2.7597980453880324
90011,2013-08-18,21.4468183517456,2.028657768701353
90011,2013-08-19,22.0051097869873,2.852662683550683
90011,2013-08-20,21.64158630371095,2.1946487296744888
90011,2013-08-21,22.58055782318115,2.5605296917643083
90011,2013-08-22,23.75568199157715,3.0853513971529827
90011,2013-08-23,23.545611381530797,2.4496447939211623
90011,2013-08-24,21.4820628166199,1.3421074871195768
90011,2013-08-25,21.28639364242555,0.8402893756037845
90011,2013-08-26,24.530612945556598,3.5781560535117647
90011,2013-08-27,24.9201669692993,5.424889513340233
90011,2013-08-28,25.4184846878052,4.854545991660789
90011,2013-08-29,27.237174034118652,5.585470180760741
90011,2013-08-30,29.23964214324955,9.043938463393893
90011,2013-08-31,27.7876558303833,8.84954099130138
90011,2013-09-01,25.7720832824707,6.63902104285662
90011,2013-09-02,24.941031455993652,5.569032823493677
90011,2013-09-03,26.890257835388198,6.212111470824297
90011,2013-09-04,27.777378082275398,7.258069039843901
90011,2013-09-05,27.7812271118164,7.087895208049853
90011,2013-09-06,27.89143180847165,6.576172781291401
90011,2013-09-07,27.091117858886697,5.944722014619308
90011,2013-09-08,23.2062711715698,3.6721494777866304
90011,2013-09-09,21.235838890075648,2.477542450267351
90011,2013-09-10,20.6448516845703,1.7125813049030774
90011,2013-09-11,20.70741081237795,1.7244730193282982
90011,2013-09-12,22.186827659606898,1.589012492503661
90011,2013-09-13,22.7002401351929,2.761107088675722
90011,2013-09-14,23.3693904876709,3.4507344569047564
90011,2013-09-15,24.501127243042,3.3837935039456424
90011,2013-09-16,24.01544570922855,3.120254804514018
90011,2013-09-17,21.32780265808105,1.7131915442333452
90011,2013-09-18,21.055481910705602,2.1202796294185062
90011,2013-09-19,20.79825258255005,1.5166537010877
90011,2013-09-20,20.482497215271003,3.6736688958792256
90011,2013-09-21,20.817513465881348,2.851778514806447
90011,2013-09-22,20.145938873291,0.9471984934876211
90011,2013-09-23,23.485652923584,0.7758541755352963
90011,2013-09-24,23.028434753417947,2.256962537200036
90011,2013-09-25,20.962741851806598,1.889069208671734
90011,2013-09-26,20.29717350006105,1.679535144331016
90011,2013-09-27,21.0014328956604,-0.6228169472917652
90011,2013-09-28,23.1730799674988,0.3987674161706949
90011,2013-09-29,22.01961851119995,-0.22502639229613486
90011,2013-09-30,20.91181802749635,0.15508573127882214
90011,2013-10-01,21.24288177490235,0.9503080430236945
90011,2013-10-02,20.77954387664795,2.552559017450144
90011,2013-10-03,19.999555587768548,2.100478586577221
90011,2013-10-04,23.41526126861575,1.960035879143979
90011,2013-10-05,24.3545932769775,1.01754414063368
90011,2013-10-06,24.44599676132205,1.099243673201306
90011,2013-10-07,22.40400743484495,1.213461952624854
90011,2013-10-08,18.78827571868895,-0.16988375131113903
90011,2013-10-09,16.073281288147,-1.4580159616242334
90011,2013-10-10,15.84061908721925,-3.5700888493859444
90011,2013-10-11,17.26769971847535,-2.692863937173817
90011,2013-10-12,18.07849407196045,-1.8071131622547214
90011,2013-10-13,18.402150154113748,0.2756797891539009
90011,2013-10-14,19.684471607208252,-1.9000790754359806
90011,2013-10-15,22.3144402503967,-0.2693800093203189
90011,2013-10-16,22.7474479675293,0.9277556800119364
90011,2013-10-17,21.269104957580602,-0.5458794305278286
90011,2013-10-18,20.9219570159912,-0.906512377989115
90011,2013-10-19,20.62065076828005,-0.7598270846227839
90011,2013-10-20,18.4054265022278,-1.5678545683974123
90011,2013-10-21,18.1654858589172,-1.5941171548556106
90011,2013-10-22,17.66716289520265,-1.7946012341785744
